PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3438.0,3069.0,2715.0,2649.0,2383.0,2305.0,2013.0,1914.0,1708.0,1578.0,1445.0,1402.0,1416.0,1416,1208,1446,1395,1337,1356
5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1780.0,1458.0,1309.0,1231.0,1170.0,1131.0,1040.0,1031.0,1029.0,975.0,969.0,962.0,1001.0,980,870,917,899,889,897
6.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2387.0,2141.0,2059.0,2068.0,2174.0,2055.0,1979.0,1837.0,1738.0,1633.0,1530.0,1504.0,1574.0,1703,1575,1521,1388,1432,1517
7.0,TOTAL SEVEN MAJOR FELONY OFFENSES,990.0,892.0,908.0,864.0,857.0,804.0,864.0,856.0,807.0,702.0,702.0,704.0,762.0,711,732,781,823,865,919
9.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2115.0,1672.0,1809.0,1801.0,1747.0,1664.0,1579.0,1519.0,1495.0,1523.0,1387.0,1350.0,1419.0,1424,1331,1337,1463,1300,1302
10.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1398.0,877.0,831.0,1436.0,1466.0,1418.0,1469.0,1326.0,1321.0,1133.0,1049.0,1037.0,1088.0,1123,1022,1061,1032,981,1046
13.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3317.0,3054.0,3145.0,3031.0,3071.0,2812.0,2716.0,2540.0,2518.0,2389.0,2136.0,2044.0,2022.0,2152,2061,2056,1879,1694,1954
14.0,TOTAL SEVEN MAJOR FELONY OFFENSES,6857.0,6088.0,5265.0,5105.0,4730.0,4423.0,4173.0,3971.0,3708.0,3330.0,3069.0,2896.0,2896.0,2863,2744,2809,2797,2645,2606
17.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2028.0,1990.0,1801.0,1796.0,1667.0,1397.0,1391.0,1277.0,1269.0,1018.0,990.0,937.0,1020.0,1024,909,986,1000,1023,1021
18.0,TOTAL SEVEN MAJOR FELONY OFFENSES,5607.0,5263.0,4508.0,4144.0,3992.0,3652.0,2945.0,2761.0,2718.0,2479.0,2331.0,2228.0,2313.0,2271,2394,2361,2467,2411,2425
19.0,TOTAL SEVEN MAJOR FELONY OFFENSES,4188.0,3784.0,3606.0,3310.0,3326.0,2892.0,2842.0,2582.0,2371.0,1940.0,1871.0,1828.0,2036.0,2064,1913,1904,1959,1972,2063
20.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1742.0,1509.0,1499.0,1510.0,1660.0,1519.0,1327.0,1259.0,1165.0,1056.0,970.0,858.0,1028.0,969,899,873,854,952,923
22.0,TOTAL SEVEN MAJOR FELONY OFFENSES,125.0,133.0,141.0,96.0,101.0,107.0,107.0,104.0,97.0,70.0,101.0,101.0,101.0,104,83,86,79,66,47
23.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1509.0,1341.0,1258.0,1218.0,1110.0,1130.0,1008.0,984.0,1000.0,882.0,878.0,870.0,1014.0,1062,1001,1025,985,909,863
24.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1554.0,1475.0,1453.0,1450.0,1408.0,1499.0,1313.0,1177.0,1148.0,986.0,1004.0,911.0,1080.0,1022,1020,1018,1100,1091,1074
25.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1151.0,1057.0,1088.0,1115.0,1131.0,1102.0,1101.0,1058.0,1063.0,914.0,899.0,880.0,1056.0,1111,1046,1125,1053,1111,1219
26.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1092.0,930.0,922.0,929.0,909.0,913.0,889.0,780.0,758.0,650.0,670.0,616.0,678.0,689,617,597,597,596,683
28.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1197.0,968.0,895.0,914.0,912.0,1005.0,1105.0,886.0,1003.0,897.0,892.0,911.0,945.0,920,823,945,1033,966,947
30.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1483.0,1211.0,1096.0,1154.0,1186.0,1101.0,1053.0,975.0,888.0,737.0,767.0,797.0,868.0,832,749,733,722,696,807
32.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1697.0,1602.0,1446.0,1410.0,1455.0,1364.0,1475.0,1278.0,1204.0,1105.0,1103.0,1108.0,1029.0,1000,996,1120,1052,950,1026
33.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1309.0,1214.0,1232.0,1201.0,1123.0,1000.0,948.0,918.0,921.0,876.0,884.0,877.0,894.0,927,811,807,712,681,708
34.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1977.0,1690.0,1718.0,1586.0,1656.0,1502.0,1403.0,1359.0,1327.0,1238.0,1200.0,1283.0,1157.0,1160,1151,1315,1323,1382,1377
40.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2449.0,2162.0,2115.0,2146.0,2103.0,1950.0,1874.0,1827.0,1865.0,1645.0,1672.0,1667.0,1628.0,1902,1646,2118,2430,2476,2344
41.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1834.0,1440.0,1405.0,1372.0,1320.0,1322.0,1277.0,1276.0,1279.0,1243.0,1271.0,1342.0,1488.0,1760,1291,1164,1142,908,976
42.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1838.0,1686.0,1632.0,1639.0,1592.0,1684.0,1668.0,1563.0,1351.0,1142.0,1178.0,1243.0,1277.0,1335,1334,1343,1414,1412,1473
43.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3576.0,3329.0,3220.0,3084.0,2957.0,2840.0,2709.0,2592.0,2574.0,2423.0,2306.0,2382.0,2437.0,2480,2452,2491,2342,2060,1940
44.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3685.0,2895.0,2764.0,2505.0,2440.0,2350.0,2289.0,2217.0,2167.0,2046.0,1994.0,2072.0,2204.0,2191,2306,2469,2260,2112,2053
45.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2035.0,1890.0,1845.0,1763.0,1756.0,1550.0,1508.0,1434.0,1411.0,1443.0,1434.0,1276.0,1177.0,1110,1149,1244,1126,1102,1178
46.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2973.0,2893.0,2790.0,2646.0,2560.0,2524.0,2154.0,2028.0,1820.0,1568.0,1516.0,1614.0,1612.0,1681,1645,1828,1926,1819,1692
47.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2952.0,2306.0,2081.0,2100.0,2061.0,2049.0,1998.0,1904.0,1960.0,1888.0,1965.0,1975.0,2127.0,2159,2035,2062,2272,2448,2131
48.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2239.0,1917.0,1921.0,1809.0,1732.0,1603.0,1652.0,1625.0,1580.0,1519.0,1490.0,1482.0,1633.0,1768,1772,1789,1562,1506,1394
49.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2571.0,2072.0,2109.0,1933.0,1919.0,1846.0,1793.0,1749.0,1715.0,1592.0,1681.0,1728.0,1572.0,1148,1073,1244,1291,1261,1220
50.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1746.0,1465.0,1356.0,1293.0,1239.0,1219.0,1125.0,1103.0,1085.0,1013.0,962.0,1020.0,995.0,959,973,951,976,971,939
52.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3659.0,3121.0,3062.0,2877.0,2906.0,2697.0,2438.0,2425.0,2365.0,2219.0,2181.0,2174.0,2162.0,2206,2194,2109,2095,1794,1917
60.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2383.0,1811.0,1831.0,1710.0,1508.0,1686.0,1624.0,1492.0,1453.0,1250.0,1323.0,1322.0,1435.0,1421,1465,1404,949,893,947
61.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3585.0,2514.0,2530.0,2509.0,2350.0,2154.0,1802.0,1618.0,1752.0,1302.0,1107.0,1202.0,1668.0,1666,1698,1493,1174,1268,1163
62.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2517.0,2111.0,2099.0,1976.0,1957.0,1985.0,1798.0,1583.0,1474.0,1332.0,1249.0,1212.0,1298.0,1405,1286,1242,1124,1129,1017
63.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2193.0,1743.0,1701.0,1720.0,1634.0,1652.0,1645.0,1577.0,1589.0,1440.0,1335.0,1339.0,1389.0,1296,1211,1136,1034,978,887
66.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2201.0,1873.0,1729.0,1636.0,1583.0,1570.0,1477.0,1422.0,1387.0,1363.0,1264.0,1273.0,1244.0,1191,1154,1137,1040,912,974
67.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3986.0,3655.0,3344.0,2935.0,2782.0,2736.0,2619.0,2362.0,2310.0,2128.0,2120.0,2455.0,2440.0,2383,2322,2115,2090,2007,1805
68.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1801.0,1687.0,1670.0,1571.0,1488.0,1459.0,1436.0,1215.0,1174.0,986.0,914.0,950.0,945.0,947,945,958,867,852,775
69.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2251.0,1745.0,1708.0,1749.0,1557.0,1475.0,1415.0,1159.0,1193.0,1083.0,1023.0,1083.0,1137.0,1186,1153,1057,961,854,769
70.0,TOTAL SEVEN MAJOR FELONY OFFENSES,4425.0,3689.0,3590.0,3466.0,3225.0,2985.0,2760.0,2466.0,2375.0,2077.0,1971.0,1912.0,1889.0,1832,1725,1674,1437,1288,1243
71.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3041.0,2599.0,2421.0,2223.0,2025.0,2015.0,1863.0,1729.0,1654.0,1474.0,1469.0,1452.0,1642.0,1637,1500,1497,1338,1270,1224
72.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2157.0,1976.0,1804.0,1948.0,1768.0,1671.0,1489.0,1314.0,1313.0,1172.0,1202.0,1218.0,1152.0,1206,1185,1166,1139,1090,1126
73.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2714.0,2616.0,2459.0,2280.0,2213.0,2174.0,2149.0,2127.0,2154.0,2011.0,2009.0,2135.0,2249.0,2094,1879,1735,1603,1610,1686
75.0,TOTAL SEVEN MAJOR FELONY OFFENSES,4775.0,4512.0,4100.0,4048.0,3957.0,3514.0,3319.0,3262.0,3239.0,3044.0,3103.0,3393.0,3780.0,3902,3751,3506,3287,3231,3298
76.0,TOTAL SEVEN MAJOR FELONY OFFENSES,878.0,748.0,718.0,717.0,784.0,777.0,666.0,570.0,589.0,558.0,585.0,631.0,630.0,637,632,628,480,476,460
77.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2531.0,2387.0,2212.0,2060.0,1853.0,1649.0,1499.0,1602.0,1347.0,1164.0,1366.0,1599.0,1601.0,1792,1664,1495,1393,1153,1138
78.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1721.0,1312.0,1259.0,1192.0,1173.0,1131.0,1085.0,973.0,965.0,888.0,845.0,863.0,928.0,1009,956,970,928,859,864
79.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2477.0,2438.0,2228.0,2193.0,2168.0,2117.0,1996.0,2131.0,2040.0,1769.0,1829.0,1847.0,1916.0,1738,1668,1541,1624,1530,1545
81.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1809.0,1713.0,1672.0,1598.0,1549.0,1508.0,1566.0,1539.0,1396.0,1286.0,1409.0,1458.0,1571.0,1495,1551,1425,1256,1155,1198
83.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2553.0,2308.0,2260.0,2192.0,2109.0,2049.0,2072.0,1888.0,1878.0,1736.0,1836.0,1823.0,2035.0,1903,1796,1678,1606,1520,1460
84.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1813.0,1726.0,1667.0,1446.0,1366.0,1370.0,1283.0,1260.0,1199.0,993.0,987.0,1052.0,1038.0,1074,1038,1094,962,1079,1151
88.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1658.0,1550.0,1478.0,1389.0,1350.0,1304.0,1198.0,1144.0,1120.0,1014.0,1146.0,1114.0,1236.0,1093,1061,927,860,773,845
90.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2066.0,2035.0,2111.0,2032.0,1965.0,1953.0,2025.0,1726.0,1892.0,1670.0,1733.0,1734.0,1716.0,1669,1655,1652,1558,1572,1494
94.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1004.0,986.0,995.0,1028.0,990.0,997.0,952.0,915.0,905.0,845.0,905.0,813.0,950.0,1043,1033,1012,957,801,923
100.0,TOTAL SEVEN MAJOR FELONY OFFENSES,525.0,448.0,411.0,350.0,347.0,372.0,355.0,367.0,393.0,350.0,330.0,525.0,615.0,558,555,501,496,456,403
101.0,TOTAL SEVEN MAJOR FELONY OFFENSES,1418.0,1139.0,876.0,757.0,618.0,613.0,641.0,700.0,688.0,659.0,615.0,631.0,899.0,852,864,927,912,827,863
102.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3077.0,2642.0,2467.0,2136.0,1903.0,1897.0,1853.0,1703.0,1708.0,1611.0,1534.0,1529.0,1612.0,1699,1537,1425,1178,926,799
103.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2905.0,2585.0,2306.0,2100.0,2012.0,1980.0,1956.0,1900.0,1852.0,1761.0,1703.0,1702.0,1840.0,1811,1797,1727,1605,1533,1487
104.0,TOTAL SEVEN MAJOR FELONY OFFENSES,3057.0,2854.0,2707.0,2513.0,2263.0,2008.0,1980.0,1713.0,1737.0,1725.0,1751.0,1722.0,1680.0,1607,1510,1355,1413,1287,1195
105.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2955.0,2791.0,2630.0,2591.0,2336.0,2250.0,2222.0,2144.0,2007.0,1881.0,1860.0,2018.0,2030.0,1917,1743,1948,1747,1705,1654
106.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2858.0,2179.0,1689.0,1390.0,1604.0,1627.0,1696.0,1584.0,1552.0,1399.0,1432.0,1493.0,1600.0,1665,1563,1579,1345,1271,1183
107.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2703.0,2574.0,2480.0,2449.0,2248.0,2048.0,1982.0,1760.0,1624.0,1349.0,1325.0,1291.0,1286.0,1298,1110,1104,1143,1114,1086
108.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2763.0,2318.0,2390.0,2224.0,2002.0,1695.0,1584.0,1443.0,1357.0,1218.0,1254.0,1267.0,1197.0,1332,1278,1105,1063,1003,925
109.0,TOTAL SEVEN MAJOR FELONY OFFENSES,4060.0,3914.0,4022.0,3630.0,3148.0,2702.0,2448.0,2256.0,2243.0,2018.0,1910.0,1899.0,1971.0,2146,2037,1874,1917,1777,1877
110.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2822.0,2619.0,2673.0,2477.0,2390.0,2331.0,2160.0,2007.0,1961.0,1701.0,1637.0,1613.0,1773.0,1747,1613,1502,1577,1407,1540
