PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.0,TOTAL MISDEMEANOR OFFENSES,5609.0,5007.0,4190.0,4753.0,4289.0,3877.0,3669.0,4157.0,4192.0,4196.0,4125.0,4499.0,4693.0,4503,4043,3881,4364,4040,4504
5.0,TOTAL MISDEMEANOR OFFENSES,2855.0,2859.0,2504.0,2608.0,2655.0,2597.0,2645.0,2849.0,3143.0,3236.0,3697.0,3320.0,3375.0,3437,3401,3339,3140,3042,2526
6.0,TOTAL MISDEMEANOR OFFENSES,6847.0,6513.0,5946.0,4452.0,4117.0,3707.0,4013.0,4605.0,4429.0,4271.0,4365.0,4285.0,4066.0,4035,3718,3397,2933,3256,2860
7.0,TOTAL MISDEMEANOR OFFENSES,2419.0,2297.0,2312.0,2730.0,2698.0,2895.0,2590.0,3057.0,3161.0,3146.0,3438.0,3211.0,3270.0,2970,2741,2932,3014,3009,2440
9.0,TOTAL MISDEMEANOR OFFENSES,5319.0,4492.0,4445.0,4803.0,4652.0,4239.0,4026.0,4228.0,4676.0,4410.0,4644.0,4581.0,4587.0,4290,3963,3965,3793,3433,3074
10.0,TOTAL MISDEMEANOR OFFENSES,3511.0,3052.0,3058.0,3175.0,2809.0,3092.0,3150.0,2690.0,2969.0,2633.0,2670.0,2905.0,2946.0,3077,2677,2516,2648,2327,2233
13.0,TOTAL MISDEMEANOR OFFENSES,6056.0,5617.0,5208.0,5063.0,4985.0,4521.0,4128.0,4840.0,4740.0,4892.0,5230.0,5846.0,5785.0,5801,5282,5409,5052,5099,4551
14.0,TOTAL MISDEMEANOR OFFENSES,12721.0,11469.0,11416.0,10361.0,9840.0,8615.0,9743.0,10784.0,10453.0,10639.0,10614.0,10036.0,9856.0,10483,10621,9554,9482,9137,7681
17.0,TOTAL MISDEMEANOR OFFENSES,2821.0,2822.0,2323.0,2168.0,2059.0,2030.0,1892.0,2018.0,1900.0,1846.0,1794.0,1891.0,2044.0,2075,1862,1641,1947,2217,2215
18.0,TOTAL MISDEMEANOR OFFENSES,7231.0,6927.0,5950.0,4912.0,4794.0,4396.0,4587.0,4637.0,4585.0,4872.0,5117.0,5009.0,4987.0,5005,5163,4891,5182,5348,4622
