PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,431.0,555.0,463.0,385.0,474.0,354.0,312.0,353.0,410.0,408.0,358.0,378.0,383.0,310,353,342,341,363,397
5.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,602.0,648.0,584.0,531.0,579.0,634.0,741.0,715.0,696.0,582.0,556.0,487.0,467.0,414,369,489,691,593,620
6.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,788.0,687.0,817.0,615.0,805.0,632.0,676.0,714.0,625.0,527.0,559.0,426.0,499.0,565,450,507,478,512,473
7.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,440.0,520.0,437.0,481.0,581.0,571.0,564.0,700.0,498.0,552.0,426.0,435.0,458.0,564,517,482,426,420,433
9.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,959.0,796.0,712.0,696.0,914.0,907.0,826.0,754.0,587.0,770.0,715.0,617.0,711.0,750,671,615,613,586,443
10.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,499.0,454.0,469.0,494.0,656.0,724.0,798.0,717.0,741.0,610.0,482.0,436.0,441.0,487,450,430,418,329,294
13.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,613.0,500.0,667.0,557.0,778.0,836.0,842.0,711.0,692.0,669.0,662.0,630.0,613.0,624,532,576,535,492,504
14.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1538.0,1164.0,1410.0,1157.0,1271.0,1356.0,1412.0,1154.0,1023.0,825.0,945.0,811.0,893.0,1004,1108,1036,1106,1145,1212
17.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,239.0,210.0,275.0,283.0,329.0,325.0,316.0,270.0,282.0,259.0,253.0,219.0,205.0,215,224,270,222,268,264
18.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,864.0,844.0,644.0,564.0,549.0,515.0,522.0,535.0,636.0,622.0,574.0,493.0,552.0,533,574,525,516,539,505
19.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,463.0,380.0,382.0,517.0,723.0,619.0,710.0,644.0,518.0,461.0,442.0,447.0,446.0,473,406,482,516,501,490
20.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,302.0,340.0,295.0,316.0,393.0,386.0,324.0,344.0,362.0,325.0,340.0,268.0,257.0,207,232,246,233,272,269
22.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,68.0,21.0,26.0,13.0,16.0,37.0,11.0,11.0,18.0,20.0,25.0,17.0,17.0,18,11,27,6,10,19
