,mailed_date,boro,address_1,address_2,address_3,city_state_zip,original_market_value,revised_market_value,borough,postcode,community_board,census_tract,nta
0,2016-02-23T00:00:00.000,1,,65        PITT ST,,NEW YORK             NY 10002-3504,2298000,2758000,MANHATTAN,10002,3,12,Lower East Side
1,2016-02-23T00:00:00.000,1,,248       W 12TH ST,,NEW YORK             NY 10014-1912,9828000,8859442,MANHATTAN,10014,2,77,West Village
2,2016-02-23T00:00:00.000,1,D. DAVIS,225       5TH AVE,OFC 3,NEW YORK             NY 10010-1133,7076000,9083000,MANHATTAN,10010,5,56,Hudson Yards-Chelsea-Flatiron-Union Square
3,2016-02-23T00:00:00.000,1,,894       6TH AVE,FRNT 4,NEW YORK             NY 10001-3508,10537000,10039000,MANHATTAN,10001,5,76,Midtown-Midtown South
4,2016-02-23T00:00:00.000,1,,142       E 30TH ST,,NEW YORK             NY 10016-7319,16514000,14037000,MANHATTAN,10016,6,72,Murray Hill-Kips Bay
5,2016-02-23T00:00:00.000,1,,2109      BROADWAY,,NEW YORK             NY 10023-2138,12609000,12645400,MANHATTAN,10023,7,159,Lincoln Square
6,2016-02-23T00:00:00.000,1,,6         WEST   74 STREET,,NEW YORK             NY 10023,15807000,18500000,MANHATTAN,10023,7,157,Lincoln Square
7,2016-02-23T00:00:00.000,1,,160       W 66TH ST,APT 16D,NEW YORK             NY 10023-6556,279851,279850,MANHATTAN,10023,7,149,Lincoln Square
8,2016-02-23T00:00:00.000,1,,160       W 66TH ST,APT 20A,NEW YORK             NY 10023-6557,221071,221070,MANHATTAN,10023,7,149,Lincoln Square
9,2016-02-23T00:00:00.000,1,,160       W 66TH ST,APT 25F,NEW YORK             NY 10023-6559,223519,223520,MANHATTAN,10023,7,149,Lincoln Square
10,2016-02-23T00:00:00.000,1,,160       W 66TH ST,APT 40E,NEW YORK             NY 10023-6564,490737,490738,MANHATTAN,10023,7,149,Lincoln Square
11,2016-02-23T00:00:00.000,1,,130       W 95TH ST,,NEW YORK             NY 10025-6604,5000000,5185000,MANHATTAN,10025,7,181,Upper West Side
12,2016-02-23T00:00:00.000,1,,667       MADISON AVE,FL 24,NEW YORK             NY 10065-8029,25518000,26462000,MANHATTAN,10065,8,11401,Upper East Side-Carnegie Hill
13,2016-02-23T00:00:00.000,1,TERESITA MASCARDO,115       EAST 34 STREET,P.O. BOX 1024,NEW YORK             NY 10156-1024,11981000,13492000,MANHATTAN,10016,6,72,Murray Hill-Kips Bay
14,2016-02-23T00:00:00.000,1,,165       E 62ND ST,,NEW YORK             NY 10065-7605,7286000,13561300,MANHATTAN,10065,8,11402,Upper East Side-Carnegie Hill
15,2016-02-23T00:00:00.000,1,,219       E 62ND ST,,NEW YORK             NY 10065-7685,8507000,6396000,MANHATTAN,10065,8,110,Lenox Hill-Roosevelt Island
16,2016-02-23T00:00:00.000,1,,347       E 62ND ST,,NEW YORK             NY 10065-7705,4655000,5234000,MANHATTAN,10065,8,110,Lenox Hill-Roosevelt Island
17,2016-02-23T00:00:00.000,1,,20        EXCHANGE PL,APT 1100,NEW YORK             NY 10005-3209,9000000,9333000,MANHATTAN,10005,1,7,Battery Park City-Lower Manhattan
18,2016-02-23T00:00:00.000,1,,2119      5TH AVE GARDEN APT.,,NEW YORK             NY 83025,80751,96962,MANHATTAN,10035,11,206,Central Harlem North-Polo Grounds
19,2016-02-23T00:00:00.000,1,,2119      5TH AVE,APT 1,NEW YORK             NY 10035-1036,64678,77321,MANHATTAN,10035,11,206,Central Harlem North-Polo Grounds
20,2016-02-23T00:00:00.000,1,,2119      5TH AVE,FL 3,NEW YORK             NY 10035-1027,80687,96399,MANHATTAN,10035,11,206,Central Harlem North-Polo Grounds
21,2016-02-23T00:00:00.000,1,,251       W 101ST ST,APT 1,NEW YORK             NY 10025-4973,1400000,1119000,MANHATTAN,10025,7,187,Upper West Side
22,2016-02-23T00:00:00.000,1,,151       W 121ST ST,APT 1,NEW YORK             NY 10027-6545,174057,184539,MANHATTAN,10027,10,220,Central Harlem South
23,2016-02-23T00:00:00.000,1,,151       W 121ST ST,APT 2,NEW YORK             NY 10027-6545,92950,98548,MANHATTAN,10027,10,220,Central Harlem South
24,2016-02-23T00:00:00.000,1,,151       W 121ST ST,APT 3,NEW YORK             NY 10027-6545,91873,97406,MANHATTAN,10027,10,220,Central Harlem South
25,2016-02-23T00:00:00.000,1,,1601      3RD AVE,APT 8A,NEW YORK             NY 10128-3453,1312000,1265000,MANHATTAN,10128,8,154,Yorkville
26,2016-02-23T00:00:00.000,1,,104       EDGECOMBE AVENUE,UNIT A,NEW YORK             NY 10030,433641,476500,MANHATTAN,10030,10,22102,Central Harlem North-Polo Grounds
27,2016-02-23T00:00:00.000,1,,104       EDGECOMBE AVENUE,UNIT B,NEW YORK             NY 10030,433641,476500,MANHATTAN,10030,10,22102,Central Harlem North-Polo Grounds
