Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2533.0,2181.0,
2007-02-01,,2449.0,2121.0,
2007-03-01,,2462.0,2142.0,
2007-04-01,,2492.0,2168.0,
2007-05-01,,2522.0,2193.0,
2007-06-01,,2542.0,2209.0,
2007-07-01,,2583.0,2244.0,
2007-08-01,,2619.0,2270.0,
2007-09-01,,2636.0,2288.0,
2007-10-01,,2641.0,2295.0,
2007-11-01,,2662.0,2311.0,
2007-12-01,,2670.0,2320.0,
2008-01-01,,2670.0,2319.0,
2008-02-01,,2666.0,2316.0,
2008-03-01,,2672.0,2323.0,
2008-04-01,,2673.0,2322.0,
2008-05-01,,2675.0,2323.0,
2008-06-01,,2676.0,2325.0,
2008-07-01,,2677.0,2327.0,
2008-08-01,,2677.0,2327.0,
2008-09-01,,2665.0,2317.0,
2008-10-01,,2637.0,2293.0,
2008-11-01,,2606.0,2268.0,
2008-12-01,,2569.0,2236.0,
2009-01-01,,2534.0,2207.0,
2009-02-01,,2502.0,2180.0,
2009-03-01,,2475.0,2158.0,
2009-04-01,,2450.0,2136.0,
2009-05-01,,2431.0,2121.0,
2009-06-01,,2422.0,2114.0,
2009-07-01,,2424.0,2115.0,
2009-08-01,,2419.0,2111.0,
2009-09-01,,2419.0,2111.0,
2009-10-01,,2413.0,2107.0,
2009-11-01,,2401.0,2097.0,
2009-12-01,,2395.0,2091.0,
2010-01-01,1841.0,2400.0,2095.0,
2010-02-01,1838.0,2406.0,2099.0,
2010-03-01,1850.0,2409.0,2102.0,
2010-04-01,1863.0,2418.0,2109.0,
2010-05-01,1881.0,2430.0,2120.0,
2010-06-01,1899.0,2444.0,2133.0,
2010-07-01,1902.0,2461.0,2148.0,
2010-08-01,1911.0,2477.0,2161.0,
2010-09-01,1915.0,2492.0,2173.0,
2010-10-01,1925.0,2503.0,2183.0,
2010-11-01,1918.0,2510.0,2188.0,
2010-12-01,1938.0,2516.0,2195.0,
2011-01-01,1942.0,2529.0,2205.0,
2011-02-01,1946.0,2541.0,2216.0,
2011-03-01,1943.0,2555.0,2226.0,
2011-04-01,1963.0,2572.0,2242.0,
2011-05-01,1982.0,2587.0,2255.0,
2011-06-01,1996.0,2605.0,2272.0,
2011-07-01,2010.0,2625.0,2288.0,
2011-08-01,2025.0,2640.0,2302.0,
2011-09-01,2034.0,2656.0,2316.0,
2011-10-01,2048.0,2670.0,2328.0,
2011-11-01,2055.0,2674.0,2332.0,
2011-12-01,2055.0,2678.0,2335.0,
2012-01-01,2058.0,2685.0,2340.0,1775.0
2012-02-01,2067.0,2694.0,2348.0,1813.0
2012-03-01,2073.0,2708.0,2360.0,1825.0
2012-04-01,2093.0,2722.0,2373.0,1818.0
2012-05-01,2104.0,2739.0,2388.0,1839.0
2012-06-01,2116.0,2751.0,2399.0,1835.0
2012-07-01,2132.0,2768.0,2414.0,1845.0
2012-08-01,2145.0,2781.0,2425.0,1831.0
2012-09-01,2154.0,2790.0,2432.0,1846.0
2012-10-01,2169.0,2796.0,2439.0,1847.0
2012-11-01,2186.0,2801.0,2446.0,1858.0
2012-12-01,2197.0,2801.0,2448.0,1860.0
2013-01-01,2202.0,2805.0,2452.0,1865.0
2013-02-01,2207.0,2815.0,2460.0,1862.0
2013-03-01,2211.0,2822.0,2465.0,1860.0
2013-04-01,2226.0,2830.0,2474.0,1867.0
2013-05-01,2243.0,2847.0,2490.0,1882.0
2013-06-01,2258.0,2860.0,2502.0,1889.0
2013-07-01,2278.0,2872.0,2514.0,1906.0
