areaName,Borough,areaType,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018
All Downtown,Manhattan,submarket,3249.1666666666665,3449.5833333333335,3554.5833333333335,3560.8333333333335,3613.75,3718.1666666666665,3767.4166666666665,3694.0833333333335,3763.375
All Midtown,Manhattan,submarket,2981.1666666666665,3293.75,3375.0833333333335,3395.0,3424.4166666666665,3513.9166666666665,3516.25,3475.0,3470.25
All Upper East Side,Manhattan,submarket,2517.4166666666665,2650.8333333333335,2752.5,2798.5,2739.0,2945.4166666666665,2981.0,2962.6666666666665,2893.5
All Upper Manhattan,Manhattan,submarket,1840.5833333333333,1930.9166666666667,2000.25,2041.0833333333333,2096.0833333333335,2245.4166666666665,2361.25,2333.0,2349.625
All Upper West Side,Manhattan,submarket,2876.9166666666665,3148.1666666666665,3244.5833333333335,3224.9166666666665,3249.0833333333335,3404.5833333333335,3448.0833333333335,3347.0,3316.0
Battery Park City,Manhattan,neighborhood,3316.4166666666665,3557.1666666666665,3904.8333333333335,3795.0833333333335,4038.5,4493.166666666667,4533.0,4233.666666666667,4438.75
Central Harlem,Manhattan,neighborhood,1877.1666666666667,1983.3333333333333,2079.1666666666665,2150.0,2206.9166666666665,2335.5833333333335,2447.0833333333335,2410.4166666666665,2495.625
Central Park South,Manhattan,neighborhood,6156.25,5633.166666666667,5981.083333333333,7581.25,7331.25,7643.75,7548.0,7120.583333333333,7298.5
Chelsea,Manhattan,neighborhood,3377.9166666666665,3491.0833333333335,3625.4166666666665,3730.6666666666665,3745.8333333333335,3934.1666666666665,3980.9166666666665,3905.8333333333335,4006.0
Chinatown,Manhattan,neighborhood,2619.9166666666665,2697.1666666666665,2608.25,2781.25,2738.25,2737.3333333333335,2821.1666666666665,2773.5833333333335,2737.875
East Harlem,Manhattan,neighborhood,2034.8333333333333,1953.6666666666667,2098.5833333333335,2138.5,2099.6666666666665,2241.0,2359.1666666666665,2378.5833333333335,2331.375
East Village,Manhattan,neighborhood,2597.75,2855.4166666666665,2976.9166666666665,3122.6666666666665,3117.3333333333335,3094.4166666666665,3172.8333333333335,3136.9166666666665,3244.125
Financial District,Manhattan,neighborhood,3142.0,3435.6666666666665,3572.0,3468.0833333333335,3523.25,3621.75,3586.3333333333335,3625.0833333333335,3666.75
Flatiron,Manhattan,neighborhood,4013.1666666666665,4174.0,4236.666666666667,4235.666666666667,4518.583333333333,4966.75,4838.333333333333,4680.416666666667,4607.5
Gramercy Park,Manhattan,neighborhood,3112.0833333333335,3207.0833333333335,3365.6666666666665,3424.25,3366.9166666666665,3526.6666666666665,3572.1666666666665,3445.0,3513.25
Greenwich Village,Manhattan,neighborhood,3257.6666666666665,3525.9166666666665,3707.1666666666665,3565.3333333333335,3690.5,3785.0,3861.9166666666665,3659.5833333333335,3688.875
Hamilton Heights,Manhattan,neighborhood,1766.9166666666667,1981.3333333333333,2035.8333333333333,2092.75,2182.1666666666665,2380.8333333333335,2380.0833333333335,2408.6666666666665,2414.75
Inwood,Manhattan,neighborhood,1456.8333333333333,1549.0833333333333,1488.0833333333333,1597.0,1677.3333333333333,1845.0833333333333,1844.6666666666667,1828.4166666666667,1909.125
Little Italy,Manhattan,neighborhood,3735.3333333333335,3728.75,3135.0833333333335,3522.75,3210.0833333333335,3263.8333333333335,3259.8333333333335,2947.0833333333335,2984.375
Lower East Side,Manhattan,neighborhood,2423.5833333333335,2506.25,2769.4166666666665,2855.4166666666665,2906.4166666666665,3035.8333333333335,3134.1666666666665,3066.0,3152.875
Manhattan,Manhattan,borough,2872.3333333333335,3102.9166666666665,3193.75,3217.4166666666665,3218.1666666666665,3313.3333333333335,3334.0833333333335,3268.25,3261.0
Midtown,Manhattan,neighborhood,3990.9166666666665,4257.083333333333,4225.666666666667,3978.4166666666665,3903.5833333333335,4062.9166666666665,4026.4166666666665,4002.1666666666665,3874.5
Midtown East,Manhattan,neighborhood,2755.4166666666665,3100.4166666666665,3115.8333333333335,3195.0,3226.25,3361.5,3372.5833333333335,3325.8333333333335,3353.75
Midtown South,Manhattan,neighborhood,3299.6666666666665,3406.5,3599.0,3516.25,3590.4166666666665,3799.3333333333335,3931.3333333333335,3885.6666666666665,3718.5
Midtown West,Manhattan,neighborhood,2831.9166666666665,3151.3333333333335,3317.0833333333335,3345.25,3388.1666666666665,3454.8333333333335,3386.25,3367.25,3401.875
Morningside Heights,Manhattan,neighborhood,2167.9166666666665,2585.1666666666665,2808.0,2845.0833333333335,3281.25,3285.25,3252.3333333333335,3115.0833333333335,3092.0
Nolita,Manhattan,neighborhood,3204.5,3419.6666666666665,3455.8333333333335,3349.5833333333335,3410.25,3543.3333333333335,3748.5833333333335,3671.0833333333335,3628.125
Roosevelt Island,Manhattan,neighborhood,2586.4166666666665,2641.9166666666665,2917.4166666666665,3047.75,3201.3333333333335,3197.0833333333335,3353.0,3093.5,3275.0
Soho,Manhattan,neighborhood,5321.666666666667,5301.333333333333,5080.583333333333,4488.166666666667,4297.5,4806.916666666667,4912.25,5004.166666666667,5236.625
Tribeca,Manhattan,neighborhood,6083.0,6347.583333333333,6876.916666666667,6337.166666666667,6023.666666666667,6512.333333333333,7452.416666666667,7081.5,6589.5
Upper East Side,Manhattan,neighborhood,2517.4166666666665,2650.8333333333335,2752.5,2798.5,2739.0,2945.4166666666665,2981.0,2962.6666666666665,2893.5
Upper West Side,Manhattan,neighborhood,2876.9166666666665,3148.1666666666665,3244.5833333333335,3224.9166666666665,3249.0833333333335,3404.5833333333335,3448.0833333333335,3347.0,3316.0
Washington Heights,Manhattan,neighborhood,1662.8333333333333,1730.25,1799.75,1798.4166666666667,1859.1666666666667,2014.0,2169.1666666666665,2168.75,2176.625
West Village,Manhattan,neighborhood,3199.3333333333335,3378.5833333333335,3472.5,3539.1666666666665,3617.75,3737.5,3798.5833333333335,3665.25,3793.0
