PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.0,TOTAL VIOLATION OFFENSES,1062.0,908.0,865.0,819.0,786.0,614.0,592.0,692.0,569.0,447.0,438.0,647.0,749.0,498,608,595,724,834,845
5.0,TOTAL VIOLATION OFFENSES,571.0,563.0,598.0,507.0,396.0,468.0,394.0,427.0,474.0,455.0,431.0,426.0,468.0,362,427,421,495,473,483
6.0,TOTAL VIOLATION OFFENSES,846.0,814.0,712.0,596.0,511.0,546.0,536.0,455.0,443.0,435.0,502.0,550.0,474.0,433,458,429,458,417,433
7.0,TOTAL VIOLATION OFFENSES,594.0,547.0,534.0,500.0,440.0,517.0,490.0,480.0,571.0,465.0,454.0,416.0,487.0,438,506,586,614,497,555
9.0,TOTAL VIOLATION OFFENSES,1032.0,997.0,971.0,864.0,809.0,826.0,760.0,640.0,707.0,695.0,651.0,662.0,678.0,605,584,563,584,540,598
10.0,TOTAL VIOLATION OFFENSES,619.0,584.0,603.0,594.0,704.0,586.0,524.0,477.0,482.0,466.0,421.0,395.0,404.0,437,420,390,440,460,593
13.0,TOTAL VIOLATION OFFENSES,1180.0,1036.0,1092.0,876.0,1063.0,982.0,882.0,911.0,875.0,717.0,666.0,683.0,722.0,732,692,765,657,692,767
14.0,TOTAL VIOLATION OFFENSES,1702.0,1560.0,1518.0,1297.0,1387.0,1046.0,1114.0,1093.0,1128.0,1121.0,885.0,755.0,818.0,695,855,741,729,764,822
17.0,TOTAL VIOLATION OFFENSES,787.0,838.0,695.0,650.0,562.0,495.0,537.0,501.0,496.0,413.0,393.0,304.0,322.0,320,360,430,439,552,497
18.0,TOTAL VIOLATION OFFENSES,1618.0,1366.0,1165.0,1281.0,994.0,852.0,837.0,910.0,917.0,882.0,898.0,845.0,900.0,1004,1104,1059,1063,1054,1258
19.0,TOTAL VIOLATION OFFENSES,1320.0,1355.0,1088.0,1081.0,1059.0,973.0,845.0,680.0,525.0,518.0,588.0,544.0,544.0,531,488,541,682,680,762
20.0,TOTAL VIOLATION OFFENSES,839.0,965.0,675.0,552.0,495.0,583.0,522.0,507.0,507.0,486.0,541.0,514.0,524.0,517,561,505,520,579,497
22.0,TOTAL VIOLATION OFFENSES,49.0,30.0,39.0,28.0,24.0,30.0,32.0,52.0,44.0,30.0,34.0,47.0,54.0,46,49,39,50,42,35
23.0,TOTAL VIOLATION OFFENSES,1233.0,1301.0,1173.0,986.0,945.0,1123.0,1044.0,992.0,1001.0,1102.0,879.0,879.0,841.0,855,858,851,882,898,987
24.0,TOTAL VIOLATION OFFENSES,899.0,1017.0,897.0,830.0,810.0,841.0,928.0,828.0,810.0,793.0,765.0,662.0,736.0,622,719,679,701,718,801
25.0,TOTAL VIOLATION OFFENSES,1066.0,1210.0,1164.0,1027.0,946.0,1006.0,908.0,937.0,898.0,914.0,859.0,708.0,735.0,749,686,775,720,728,741
26.0,TOTAL VIOLATION OFFENSES,611.0,622.0,568.0,474.0,454.0,469.0,499.0,501.0,397.0,457.0,406.0,392.0,406.0,371,414,363,389,384,404
28.0,TOTAL VIOLATION OFFENSES,1084.0,1236.0,1091.0,933.0,876.0,878.0,851.0,819.0,736.0,759.0,699.0,571.0,636.0,569,657,625,771,713,722
30.0,TOTAL VIOLATION OFFENSES,1056.0,1101.0,947.0,891.0,823.0,835.0,695.0,632.0,605.0,629.0,597.0,593.0,684.0,617,647,609,603,585,664
32.0,TOTAL VIOLATION OFFENSES,1355.0,1484.0,1152.0,1103.0,1172.0,1137.0,937.0,1124.0,1132.0,1346.0,1194.0,1184.0,1029.0,960,971,1036,1014,913,945
33.0,TOTAL VIOLATION OFFENSES,891.0,919.0,827.0,798.0,705.0,722.0,691.0,663.0,547.0,564.0,599.0,592.0,533.0,530,471,541,582,505,575
34.0,TOTAL VIOLATION OFFENSES,1198.0,1299.0,1063.0,759.0,872.0,693.0,630.0,610.0,525.0,491.0,546.0,612.0,593.0,522,748,751,708,657,742
40.0,TOTAL VIOLATION OFFENSES,2329.0,2468.0,2141.0,1980.0,1911.0,1893.0,1600.0,1709.0,1607.0,1611.0,1550.0,1388.0,1412.0,1317,1392,1381,1606,1727,1895
41.0,TOTAL VIOLATION OFFENSES,1129.0,1302.0,1199.0,1128.0,1063.0,1040.0,947.0,972.0,914.0,840.0,761.0,746.0,822.0,929,941,816,792,847,832
42.0,TOTAL VIOLATION OFFENSES,2069.0,1786.0,1596.0,1594.0,1503.0,1406.0,1286.0,1237.0,929.0,885.0,830.0,825.0,927.0,923,1103,1012,1102,1165,1409
43.0,TOTAL VIOLATION OFFENSES,2943.0,2964.0,2679.0,2433.0,2292.0,2219.0,1928.0,1708.0,1645.0,1589.0,1568.0,1630.0,1600.0,1627,1612,1647,1770,1706,1791
44.0,TOTAL VIOLATION OFFENSES,3286.0,3211.0,2421.0,2367.0,1973.0,1640.0,1619.0,1190.0,1088.0,1205.0,1189.0,1123.0,1248.0,1350,1278,1374,1612,1779,1981
45.0,TOTAL VIOLATION OFFENSES,1685.0,1609.0,1414.0,1364.0,1339.0,1183.0,1121.0,1049.0,913.0,957.0,985.0,865.0,817.0,855,1016,1016,1111,1225,1130
46.0,TOTAL VIOLATION OFFENSES,2478.0,2398.0,1856.0,2071.0,1970.0,1645.0,1640.0,1551.0,1288.0,1337.0,1408.0,1225.0,1293.0,1283,1227,1431,1605,1457,1601
47.0,TOTAL VIOLATION OFFENSES,2570.0,2411.0,2290.0,1839.0,1900.0,1708.0,1322.0,1258.0,1130.0,1058.0,965.0,892.0,1106.0,1065,1159,1260,1720,1519,1633
48.0,TOTAL VIOLATION OFFENSES,1806.0,1755.0,1500.0,1301.0,1215.0,1036.0,1000.0,970.0,695.0,756.0,769.0,691.0,833.0,853,919,1014,1059,1205,1320
49.0,TOTAL VIOLATION OFFENSES,1578.0,1800.0,1773.0,1513.0,1327.0,1097.0,1238.0,1272.0,1075.0,938.0,971.0,936.0,765.0,814,786,801,881,966,1044
50.0,TOTAL VIOLATION OFFENSES,1121.0,1039.0,950.0,752.0,740.0,860.0,711.0,743.0,781.0,649.0,641.0,520.0,482.0,534,525,574,588,619,589
52.0,TOTAL VIOLATION OFFENSES,2246.0,2353.0,2282.0,2043.0,1857.0,1705.0,1478.0,1320.0,1164.0,1036.0,958.0,1094.0,1041.0,1024,1164,1065,1060,1168,1144
60.0,TOTAL VIOLATION OFFENSES,1171.0,1130.0,977.0,1015.0,961.0,908.0,1062.0,856.0,824.0,808.0,730.0,751.0,678.0,694,859,921,900,800,850
61.0,TOTAL VIOLATION OFFENSES,1437.0,1561.0,1264.0,1262.0,1259.0,1240.0,1149.0,1039.0,901.0,882.0,787.0,633.0,717.0,644,675,646,645,640,791
62.0,TOTAL VIOLATION OFFENSES,1473.0,1352.0,1068.0,978.0,870.0,1082.0,1115.0,993.0,872.0,797.0,811.0,781.0,829.0,840,946,840,730,737,886
63.0,TOTAL VIOLATION OFFENSES,1223.0,1331.0,1079.0,1100.0,1108.0,1085.0,995.0,883.0,775.0,746.0,711.0,592.0,522.0,535,594,722,756,709,630
66.0,TOTAL VIOLATION OFFENSES,1115.0,1075.0,766.0,769.0,669.0,782.0,751.0,719.0,639.0,651.0,604.0,655.0,659.0,587,533,598,555,580,595
67.0,TOTAL VIOLATION OFFENSES,2347.0,2513.0,1999.0,1845.0,1627.0,1353.0,1265.0,986.0,1019.0,1025.0,1133.0,1092.0,1134.0,1294,1673,1653,1876,1658,1854
68.0,TOTAL VIOLATION OFFENSES,1119.0,1255.0,930.0,978.0,881.0,896.0,838.0,782.0,849.0,750.0,694.0,720.0,730.0,768,631,793,752,649,493
