Borough,Neighborhood,Zip_Code
Manhattan, Central Harlem," 10026, 10027, 10030, 10037, 10039"
Manhattan, Chelsea and Clinton," 10001, 10011, 10018, 10019, 10020, 10036"
Manhattan, East Harlem," 10029, 10035"
Manhattan, Gramercy Park and Murray Hill," 10010, 10016, 10017, 10022"
Manhattan, Greenwich Village and Soho," 10012, 10013, 10014"
Manhattan, Lower Manhattan," 10004, 10005, 10006, 10007, 10038, 10280"
Manhattan, Lower East Side," 10002, 10003, 10009"
Manhattan, Upper East Side," 10021, 10028, 10044, 10065, 10075, 10128"
Manhattan, Upper West Side," 10023, 10024, 10025"
Manhattan, Inwood and Washington Heights," 10031, 10032, 10033, 10034, 10040"
